2024-04-04 00:49:28.773 [main] INFO  org.bailu.rpc.RpcConsumerDemoApplication - Starting RpcConsumerDemoApplication using Java 1.8.0_392 on bailu-MacBook-Air.local with PID 48054 (/Users/bailu/Desktop/rpc/test-rpc/consumer/target/classes started by bailu in /Users/bailu/Desktop/rpc/test-rpc)
2024-04-04 00:49:28.774 [main] INFO  org.bailu.rpc.RpcConsumerDemoApplication - No active profile set, falling back to 1 default profile: "default"
2024-04-04 00:49:29.080 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-04-04 00:49:29.081 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-04-04 00:49:29.093 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 Redis repository interfaces.
2024-04-04 00:49:29.166 [main] INFO  org.bailu.rpc.filter.client.ClientLogFilter - 读取配置文件成功
2024-04-04 00:49:29.166 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:json, valeu:org.bailu.rpc.protocol.serialization.JsonSerialization
2024-04-04 00:49:29.167 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:hessian, valeu:org.bailu.rpc.protocol.serialization.HessianSerialization
2024-04-04 00:49:29.167 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:consistentHash, valeu:org.bailu.rpc.router.ConsistentHashStrategy
2024-04-04 00:49:29.168 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:roundRobin, valeu:org.bailu.rpc.router.RoundRobinStrategy
2024-04-04 00:49:29.168 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:logFilter, valeu:org.bailu.rpc.filter.client.ClientLogFilter
2024-04-04 00:49:29.262 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2024-04-04 00:49:29.265 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2024-04-04 00:49:29.266 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-04-04 00:49:29.266 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.74]
2024-04-04 00:49:29.307 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-04-04 00:49:29.307 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 501 ms
2024-04-04 00:49:29.328 [main] INFO  org.bailu.rpc.filter.client.ClientLogFilter - test field:testService注入成功
2024-04-04 00:49:29.329 [main] INFO  org.bailu.rpc.filter.client.ClientLogFilter - test field:test2Service注入成功
2024-04-04 00:49:29.629 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2024-04-04 00:49:29.634 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2024-04-04 00:52:51.164 [main] INFO  org.bailu.rpc.RpcConsumerDemoApplication - Starting RpcConsumerDemoApplication using Java 1.8.0_392 on bailu-MacBook-Air.local with PID 48153 (/Users/bailu/Desktop/rpc/test-rpc/consumer/target/classes started by bailu in /Users/bailu/Desktop/rpc/test-rpc)
2024-04-04 00:52:51.166 [main] INFO  org.bailu.rpc.RpcConsumerDemoApplication - No active profile set, falling back to 1 default profile: "default"
2024-04-04 00:52:51.501 [main] INFO  org.bailu.rpc.filter.client.ClientLogFilter - 读取配置文件成功
2024-04-04 00:52:51.501 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:json, valeu:org.bailu.rpc.protocol.serialization.JsonSerialization
2024-04-04 00:52:51.502 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:hessian, valeu:org.bailu.rpc.protocol.serialization.HessianSerialization
2024-04-04 00:52:51.502 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:consistentHash, valeu:org.bailu.rpc.router.ConsistentHashStrategy
2024-04-04 00:52:51.503 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:roundRobin, valeu:org.bailu.rpc.router.RoundRobinStrategy
2024-04-04 00:52:51.503 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:logFilter, valeu:org.bailu.rpc.filter.client.ClientLogFilter
2024-04-04 00:52:51.596 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2024-04-04 00:52:51.600 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2024-04-04 00:52:51.601 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-04-04 00:52:51.601 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.74]
2024-04-04 00:52:51.640 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-04-04 00:52:51.640 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 448 ms
2024-04-04 00:52:51.659 [main] INFO  org.bailu.rpc.filter.client.ClientLogFilter - test field:testService注入成功
2024-04-04 00:52:51.659 [main] INFO  org.bailu.rpc.filter.client.ClientLogFilter - test field:test2Service注入成功
2024-04-04 00:52:51.769 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2024-04-04 00:52:51.778 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2024-04-04 00:52:51.784 [main] INFO  org.bailu.rpc.RpcConsumerDemoApplication - Started RpcConsumerDemoApplication in 0.796 seconds (JVM running for 1.166)
2024-04-04 00:53:07.423 [main] INFO  org.bailu.rpc.RpcConsumerDemoApplication - Starting RpcConsumerDemoApplication using Java 1.8.0_392 on bailu-MacBook-Air.local with PID 48159 (/Users/bailu/Desktop/rpc/test-rpc/consumer/target/classes started by bailu in /Users/bailu/Desktop/rpc/test-rpc)
2024-04-04 00:53:07.425 [main] INFO  org.bailu.rpc.RpcConsumerDemoApplication - No active profile set, falling back to 1 default profile: "default"
2024-04-04 00:53:07.726 [main] INFO  org.bailu.rpc.filter.client.ClientLogFilter - 读取配置文件成功
2024-04-04 00:53:07.727 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:json, valeu:org.bailu.rpc.protocol.serialization.JsonSerialization
2024-04-04 00:53:07.727 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:hessian, valeu:org.bailu.rpc.protocol.serialization.HessianSerialization
2024-04-04 00:53:07.728 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:consistentHash, valeu:org.bailu.rpc.router.ConsistentHashStrategy
2024-04-04 00:53:07.728 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:roundRobin, valeu:org.bailu.rpc.router.RoundRobinStrategy
2024-04-04 00:53:07.729 [main] INFO  org.bailu.rpc.spi.ExtensionLoader - 加载bean key:logFilter, valeu:org.bailu.rpc.filter.client.ClientLogFilter
2024-04-04 00:53:07.811 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2024-04-04 00:53:07.814 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2024-04-04 00:53:07.815 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-04-04 00:53:07.815 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.74]
